,ROI000,ROI001,ROI002,ROI003,ROI004,ROI005,ROI006,ROI007,ROI008,ROI009,ROI010,ROI011,ROI012,ROI013,ROI014,ROI015,ROI016,ROI017,ROI018,ROI019,ROI020,ROI021,ROI022,ROI023,ROI024,ROI025,ROI026,ROI027,ROI028,ROI029,ROI030,ROI031,ROI032,ROI033,ROI034,ROI035,ROI036,ROI037,ROI038,ROI039,ROI040,ROI041,ROI042,ROI043,ROI044,ROI045,ROI046,ROI047,ROI048,ROI049,ROI050,ROI051,ROI052,ROI053,ROI054,ROI055,ROI056,ROI057,ROI058,ROI059,ROI060,ROI061,ROI062,ROI063,ROI064,ROI065,ROI066,ROI067,ROI068,ROI069,ROI070,ROI071,ROI072,ROI073,ROI074,ROI075,ROI076,ROI077,ROI078,ROI079,ROI080,ROI081,ROI082,ROI083,ROI084,ROI085,ROI086,ROI087,ROI088,ROI089,ROI090,ROI091,ROI092,ROI093,ROI094,ROI095,ROI096,ROI097,ROI098,ROI099,ROI100,ROI101,ROI102,ROI103,ROI104,ROI105,ROI106,ROI107,ROI108,ROI109,ROI110,ROI111,ROI112,ROI113,ROI114,ROI115,ROI116,ROI117,ROI118,ROI119,ROI120,ROI121,ROI122,ROI123,ROI124,ROI125,ROI126,ROI127,ROI128,ROI129,ROI130,ROI131,ROI132,ROI133,ROI134,ROI135,ROI136,ROI137,ROI138,ROI139,ROI140,ROI141,ROI142,ROI143,ROI144,ROI145,ROI146,ROI147,ROI148,ROI149,ROI150,ROI151,ROI152,ROI153,ROI154,ROI155,ROI156
0 days 00:17:22.500000,0.00593036,-0.00377785,-0.00629841,0.0107266,0.012055,0.00531196,0.0157753,-0.00165602,0.00769728,0.0354258,0.00563063,-0.0122272,0.0135551,0.0168779,0.039844,-0.00201026,0.00572689,0.022108,0.0132784,0.00753424,-0.0418449,0.0054694,0.0074293,0.0212289,0.00646664,0.00278256,-0.0252076,0.0272989,0.0218592,0.00955459,0.0106911,0.0142009,0.0321223,-0.0138008,0.0117492,0.0449459,0.0271383,0.00492177,-0.0163303,0.00154963,0.0230101,0.0120621,0.0128259,0.0019982,0.00802571,0.0406108,-0.0466724,0.00278571,0.0050064,-0.0085022,-0.00122654,0.0143299,0.00156655,0.0143858,0.0017279,0.00545187,0.0107106,0.0433303,0.00420908,0.00158886,0.0242827,0.0254175,-0.0171545,0.021218,0.00812005,0.0226514,-0.0119586,-0.0324458,0.00806333,0.0264253,0.0266832,0.00928396,-0.00811748,0.00850291,0.0393684,0.0287803,0.000980499,-0.00942026,0.00583508,-0.0100685,-0.00341847,0.0122351,0.00121248,-0.00902882,0.0469867,0.0182562,0.00348325,-0.00355027,-0.0109628,0.0129458,-0.0138901,0.00520702,0.0245565,0.0116902,-0.0094199,0.0297823,0.0126262,0.0212347,0.035906,0.0190622,0.0174624,0.00304261,0.0263913,0.0085158,-0.0063041,0.0407888,-0.00440591,0.0132341,-0.00238727,-0.00512551,-0.00147669,-0.049537,0.023408,-0.00506943,0.0355496,0.0147394,-0.0137742,0.0175671,-0.00502356,0.0362323,0.0135261,0.0329433,-0.0028648,0.00948625,0.0282723,0.0238172,-0.00630574,0.0496772,0.0321312,0.0274053,0.0166179,0.0125054,0.0194246,0.00433253,0.032116,0.0282368,0.0178514,0.0058059,0.0360996,-0.0180257,0.0110841,0.0182619,0.0279827,-0.00879048,0.00163763,0.000756686,0.00440376,-0.0242261,-0.00177591,-0.0690216,-0.00809254,0.00115088,-0.0315667,-0.031708,-0.00963337,-0.07211,0.00941632
0 days 00:17:24,0.00586649,0.0495974,0.0097557,-0.0116751,0.0562003,-0.0154499,0.01935,0.00945681,0.0304269,0.0110965,0.00647862,0.0158972,0.0079871,0.0312343,0.0526415,0.0169664,0.0254316,0.0259464,0.0571742,-0.00309013,-0.0391788,0.0306818,-0.000178223,0.0333025,0.022933,-0.015419,-0.0464781,0.0473083,0.0180578,0.0296786,0.0211251,0.0734153,0.0606838,0.0257604,0.0300475,0.0575546,0.0560193,0.00562748,-0.00755375,0.0223915,0.0258358,0.0211357,0.0385869,0.00866262,0.0251179,0.0286204,-0.0666425,0.010747,0.0194901,-0.0197408,0.00256151,0.0152605,0.0174713,-0.00259548,0.00463199,0.00466739,0.0444902,0.0390511,0.0379168,0.0178041,-0.0302614,0.0657463,-0.0204331,0.0872455,0.00862532,0.0389606,-3.06213e-05,0.0143275,0.0639434,0.00533338,0.0804925,0.0268338,0.00887172,-0.00477302,0.0517944,0.0728991,-0.00421735,-0.00428232,0.0755208,-0.0142727,0.00655972,0.0207332,0.0261248,0.0207724,0.0436194,0.0122313,0.00949995,-0.0250831,-0.0334334,0.016459,0.00688266,0.0284557,-0.0238135,0.0350545,-0.0254166,0.0488499,0.0136997,-0.00292754,0.0822494,0.0612496,0.061324,-0.0167537,0.00453062,0.0221729,0.0440685,0.0740315,0.0147703,-0.00233374,0.0390788,-0.00285033,-0.0153823,-0.0170655,0.0638235,-0.0239895,0.0544556,0.0593189,-0.0105389,0.0341214,-0.0443981,0.0133077,0.0334234,0.0217484,-0.00808147,-0.00638972,0.00107117,0.0453047,0.010325,0.0466568,0.0359336,-0.00593572,0.0411463,-0.00535224,0.00182646,-0.00686391,0.0749215,0.0456641,0.0441974,0.0161899,0.0306368,-0.0171522,-0.00399241,0.0137372,0.0128201,-0.00855401,-0.00792857,0.0213213,0.0537196,-0.0331672,0.0107552,-0.0982991,0.0475107,0.0145477,-0.0440009,0.0103034,-0.034944,-0.0866653,0.0288371
0 days 00:17:25.500000,0.00578135,0.0891718,0.0284053,-0.0038293,0.0493603,-0.0278555,0.0522197,0.0281999,0.0552812,0.00946915,0.0244439,0.0585734,0.00606112,0.0529325,0.045455,0.0297142,0.0365804,0.0180011,0.0429871,0.0234812,-0.0161033,0.0585505,-0.0116623,0.0545855,0.00618025,-0.0141993,-0.0324324,0.0593059,0.0232932,0.0510882,0.0550976,0.105671,0.0471571,0.0329814,0.0345213,0.02748,0.0474401,-0.0224509,0.0106212,0.0181886,0.00535628,0.0559782,0.0373049,0.00904784,0.0551128,0.0230215,-0.0400746,0.0228138,0.0405842,-0.00387272,0.00762531,0.0252986,0.0379845,-0.018356,-0.00530479,0.0253472,0.0468977,0.0393872,0.0325594,0.0129296,-0.0735082,0.108075,-0.0320739,0.108278,0.0317538,0.0351595,-0.00292856,0.0596759,0.077655,0.00970129,0.0963524,0.0785087,0.0154812,-0.00638549,0.0413373,0.10685,-0.00204158,-0.00863853,0.0954083,-0.00875862,0.0558666,0.0141121,0.0195283,0.0351752,0.0360145,0.0398042,0.034764,-0.0207418,-0.0263534,0.00984648,0.0219525,0.0358088,-0.058695,0.0787792,-0.0261033,0.00517935,-0.00643695,-0.000343626,0.0815285,0.0725885,0.0661324,-0.0202619,-0.0163209,-0.00103109,0.0692693,0.0762773,0.0120521,-0.0188457,0.0594302,0.0105574,-0.0424007,0.0260756,0.088221,-0.0221753,0.0771201,0.0713626,-0.00382327,0.038746,-0.0158771,0.00144829,0.0518271,-0.0130406,-0.0261934,-0.0017004,-0.00399588,0.0720595,0.0334233,0.063481,0.00750417,-0.0124475,0.0855763,-0.0217738,0.00171655,-0.030339,0.108881,0.0345697,0.0432216,0.00593887,0.0229213,-0.00306239,0.0160959,0.0200272,0.0170444,-0.0052365,0.00221505,0.0427145,0.0940316,-0.0231887,-0.0048913,-0.0540202,0.0973137,0.0108932,0.0020605,0.0132254,-0.0310954,-0.0433748,0.0255004
0 days 00:17:27,-0.00347693,0.0679789,0.0391773,0.0169996,0.00755609,-0.0139507,0.0351775,0.033471,0.0351805,0.0281905,0.0161253,0.0470177,0.013409,0.0438693,0.0227273,0.0307545,0.0179689,0.00331918,-0.000147164,0.0443584,0.00916684,0.0414669,-0.00528123,0.0550463,-0.00782138,-0.00344845,-0.0034004,0.0390698,0.019102,0.0242374,0.0495958,0.056271,0.0084881,-0.0116692,0.0145186,-0.0140932,0.0200801,-0.0183618,0.0247174,0.00250624,-0.00242459,0.0431872,0.0146785,0.00246085,0.0437807,0.00906809,0.0030461,0.027747,0.0376826,0.022122,0.00572261,0.0225745,0.0492428,-0.00521736,-0.0142452,0.0280174,0.0134325,0.0280318,-0.0023156,0.00279486,-0.043295,0.0826759,-0.0200198,0.0568047,0.0449841,0.00578011,-0.0100786,0.039603,0.0310354,0.00643041,0.0522057,0.0749525,0.0129024,-0.00465456,0.00845596,0.0890209,0.0069331,-0.0277978,0.0402674,0.0150738,0.0787823,-0.00504122,-0.0192309,0.00825171,0.0167251,0.0302979,0.0492025,0.0149907,0.00739416,-0.00222701,0.00523299,0.0179303,-0.0356837,0.0609956,0.00226536,-0.0345607,-0.0305506,0.0205437,0.0235663,0.0222369,0.0218462,-0.00969539,-0.00996223,-0.0358596,0.0484122,0.0232012,-0.00358722,-0.000620923,0.031923,0.0140747,-0.0435566,0.0520611,0.0512592,-0.00418463,0.0585522,0.0537045,0.00648989,0.0243864,0.0333696,-0.0123979,0.0254796,-0.0155439,-0.038597,0.0133654,0.00885425,0.0504996,0.0300815,0.043785,-0.00654859,0.0110795,0.0780312,-0.00469813,0.0101999,-0.0382643,0.072437,0.00707041,0.0200472,-0.0165,0.00770846,0.0099299,0.0189619,0.0242621,0.0315414,0.00316147,0.0162848,0.0408273,0.0624844,0.00185008,-0.0251285,0.0364628,0.0959931,0.00982712,0.0728991,-0.0110782,-0.000601631,0.0292852,0.00651084
0 days 00:17:28.500000,-0.0204858,0.00820313,0.0327264,0.00837302,-0.023464,0.0038483,-0.037225,0.0124717,-0.0175219,0.0227967,-0.0176624,-0.0174906,0.00651058,8.98937e-05,-0.0160941,0.0220081,-0.00799916,-0.00240541,-0.0235343,0.0232592,0.0196261,-0.00716424,0.0114231,-0.00176713,-0.00964019,-0.0108358,0.0132061,0.000834083,-0.0131081,-0.0351356,-0.0102713,-0.0261002,-0.0217041,-0.0496395,-0.0181222,-0.0366745,-0.00505069,0.00800322,0.025735,0.000619899,0.00712351,-0.0198011,-0.00703225,0.000918975,-0.0249366,-0.0188695,0.0172468,0.0170435,0.00345366,0.0235642,-0.0140553,-0.000229158,0.030931,0.00508243,-0.011729,0.00388288,-0.0168921,-0.0131826,-0.0189168,-0.000210906,0.0182662,0.00371982,0.0145738,-0.0134363,0.023752,-0.0345125,-0.0034625,-0.00768505,-0.0312993,-0.0268393,-0.0186388,0.0112863,0.0126647,-0.0100956,-0.0359226,0.0288363,0.0122095,-0.0381971,-0.032142,0.0364177,0.0396406,-0.031605,-0.0480087,-0.0213605,-0.0146519,-0.0372677,0.0331975,0.0328635,0.0286001,-0.00875457,-0.0171286,-0.0122112,0.0139603,-0.0201504,0.0216409,-0.0173195,-0.0375049,0.0197556,-0.0417799,-0.0457592,-0.028772,0.00567978,9.6776e-05,-0.0321127,-0.00668726,-0.0386229,-0.00377551,0.0160109,-0.0184546,-0.00900884,-0.0134478,0.041347,-0.0179269,0.00658883,0.00479198,0.0250661,0.00396609,-0.014183,0.0232773,-0.031707,-0.0406759,0.00378646,-0.0259723,0.00623666,0.0098684,-0.012004,0.00352803,-0.0264258,-0.00172051,0.0179691,0.0033472,0.0236797,0.0126547,-0.0183154,-0.0202755,-0.0186117,-0.00972029,-0.0257892,-0.0158526,0.0124147,-0.0217984,0.00558479,0.0121342,0.0126829,-0.00331129,-0.00200618,-0.028983,0.0202655,-0.0190532,0.0759565,0.0353899,-0.00466907,0.0767113,-0.0113194,0.0241706,0.0640489,-0.0231918
0 days 00:17:30,-0.0297794,-0.0165628,0.0111403,-0.0160989,-0.0311935,0.00126661,-0.0757498,-0.0146865,-0.0258322,-0.0211287,-0.0314799,-0.0555848,-0.0166614,-0.042948,-0.0470334,0.0035504,-0.0103856,0.00895762,-0.0287961,-0.00117561,0.0209151,-0.0371099,0.0123167,-0.0663605,-0.010433,-0.0307017,0.0268709,-0.0220906,-0.0381308,-0.0616949,-0.0542255,-0.0562446,-0.0290879,-0.0375307,-0.0351254,-0.0388519,-0.0201455,-0.0100087,0.011924,0.00175519,0.00479351,-0.0422569,-0.0150095,0.00556894,-0.0749344,-0.0191043,0.00284195,-0.00239467,-0.0340668,0.000618837,-0.0295659,-0.0126187,0.00318399,-0.0145163,-0.0104212,-0.0136486,-0.00658384,-0.049411,-0.00809231,-0.00659384,0.0361919,-0.0388582,0.0307517,-0.0373307,-0.0144087,-0.0424405,0.00472497,-0.0148439,-0.0466692,-0.0598987,-0.0497225,-0.0290255,0.00677868,-0.0128133,-0.0502374,-0.0119683,0.00523518,-0.0230153,-0.0499296,0.0223129,-0.0222132,-0.0381958,-0.0422736,-0.0195551,-0.0308766,-0.0796885,0.00752648,0.00852883,0.0249086,-0.0103876,-0.0185936,-0.026667,0.0294939,-0.0770333,0.00940885,0.00840812,-0.0289963,-0.0109842,-0.0523549,-0.0634419,-0.041866,0.0223323,-0.00825651,0.00344248,-0.0488752,-0.0414336,0.00764077,-0.00664941,-0.0408991,-0.0318198,0.0232576,0.0113606,-0.046999,-0.00249524,-0.0274278,-0.00178821,-0.016709,-0.042393,-0.0109175,-0.0286745,-0.0674565,0.0045392,-0.000617511,-0.0103628,-0.00751079,-0.0515416,-0.00369299,-0.0795694,0.00900132,-0.00326344,-0.0400917,0.0237276,0.00637296,0.00937319,-0.0630552,-0.0203971,-0.0213453,-0.0199833,-0.018807,0.00270614,-0.0512715,-0.00550588,-0.0152152,0.0185383,-0.0361451,-0.0398448,-0.0848653,0.0252203,-0.00117677,0.0468177,-0.0219315,-0.025878,0.0187132,0.00672592,0.0276103,0.0505675,-0.0451602
0 days 00:17:31.500000,-0.0175772,-0.00582706,-0.0093098,-0.00706238,-0.0301009,-0.00819029,-0.0462179,-0.0173872,0.0140399,-0.0581654,-0.0103404,-0.0381826,-0.0194024,-0.0552585,-0.0384983,-0.0186816,0.00723161,0.018517,-0.0357691,0.0188148,0.0330241,-0.0351922,-0.00230682,-0.0620097,-0.00921673,-0.0245631,0.0446178,-0.0161045,-0.0156468,-0.0446919,-0.0382574,-0.0378473,-0.0207732,-0.0111364,-0.0282634,-0.0401285,-0.0224452,-0.0623634,0.00413455,-0.00987377,-0.00571155,-0.00809541,-0.0233199,0.00944057,-0.0464208,0.0150081,-0.00914141,-0.0147651,-0.0340815,-0.0178602,-0.00687253,0.00706053,0.00030277,-0.024091,-0.0138251,-0.0014355,0.025921,-0.0421346,-0.00239779,-0.0150038,0.0154134,-0.0317539,0.0186115,-0.0158157,-0.0302731,-0.000417484,-0.000416718,0.00399394,-0.0219202,-0.0586599,-0.020124,-0.0189077,-0.00914944,0.00324933,-0.0137287,-0.0122124,-0.0109921,-0.00270985,-0.0206282,-0.0124674,-0.0491949,-0.0105168,-0.0201866,-0.00712101,-0.0103075,-0.0411594,0.00143173,-0.0126506,0.0253854,-0.00938916,-0.00861515,-0.0141016,0.0181725,-0.0683321,0.00526495,-0.00512277,-0.0190652,-0.0302272,-0.0226075,-0.0319226,-0.0222527,0.0386902,-0.0104312,0.0223525,-0.044662,0.00208521,0.00706127,-0.0269784,-0.0175852,-0.017027,0.0362623,-0.00623962,-0.0280066,-0.0102078,-0.0156634,-0.0146584,-0.0236411,-0.021344,-0.00349002,0.00369043,-0.020661,-0.00720625,0.0118006,0.00439213,-0.0237575,-0.0390074,0.025639,-0.074217,0.0272594,-0.00763962,-0.00385556,0.00629017,-2.56614e-05,0.0199504,-0.0248425,-0.00695285,-0.0130129,-0.0163969,0.0106768,-0.00807729,-0.0300222,0.0210574,-0.00267476,0.0220063,-0.0313085,-0.0320786,-0.0584125,0.0320284,0.00264827,0.0180062,-0.0263416,-0.0172251,-0.00841133,0.00200679,0.0221141,0.0295487,-0.0226689
0 days 00:17:33,0.00966942,-0.0252179,-0.00775416,0.0329747,-0.0237617,0.00179568,-0.0207177,0.00221795,0.0146536,-0.0506332,0.00996237,-0.0235035,0.00667675,-0.0459948,-0.00423784,-0.0223616,0.0189527,0.0050119,-0.0347307,0.0525509,0.0596034,-0.0252435,-0.00722258,-0.0112145,-0.00123893,0.0182666,0.0436923,-0.00230832,0.0275937,-0.0318477,-0.0102582,-0.0406819,-0.00969191,-0.0191071,-0.0140661,-0.0499235,-0.0156479,-0.0695297,0.015807,-0.0130607,0.00888923,-0.00984223,-0.040924,0.0124677,0.00749854,0.0240925,-0.00861311,-0.0155577,-0.00128431,-0.0129687,0.0399514,0.0334061,0.0133261,0.00676639,-0.00136606,0.0195216,0.0345533,-0.0157927,-0.0141405,-0.00860895,0.0151637,-0.0510589,0.0184164,0.00085044,-0.0074827,0.0389839,-0.00128828,-0.00248538,-0.0173617,-0.037279,0.0128346,-0.0175808,-0.0122714,0.0333847,0.024991,-0.0250825,-0.023972,0.00396284,-0.00454013,-0.0106448,-0.0318357,0.0123811,-0.00653228,-0.0153634,0.0217941,0.0125802,0.0114698,0.00891032,0.0459199,0.00156647,-0.00471875,-0.000709025,0.0306047,-0.0480055,0.040342,-0.0201038,-0.0114918,-0.00779617,-0.0177912,-0.00761726,-0.00567498,0.0446691,0.0185147,0.0185969,-0.0148921,0.022179,0.0036714,0.0018245,0.020743,0.0246348,0.0179442,-0.00814824,-0.020638,0.0100264,-0.00455842,-0.00544515,0.00658675,0.0215914,0.0129922,0.0226972,0.0238582,-0.0107099,0.00199431,0.0415638,-0.0257089,-0.0156765,0.0554366,-0.0546703,0.0422623,0.0211958,0.0241195,0.0152956,0.000872883,0.014165,0.00271225,-0.0130299,-0.0199078,-0.017022,0.0346049,0.00368166,-0.00286176,0.0523759,0.0144299,0.031791,0.00260404,-0.0118702,-0.0144177,0.0515741,-0.00106848,0.0162386,-0.0113618,0.0191817,0.020614,-0.0219788,0.0212016,0.0164226,0.0364698
0 days 00:17:34.500000,0.0269466,-0.0709561,0.0116746,0.0462704,-0.0107436,0.0251524,-0.0407044,0.0133399,-0.0423354,-0.0251759,0.00657348,-0.0462379,0.0160811,-0.0417232,0.00641471,0.00318859,0.0161693,-0.0208696,-0.0148012,0.0430059,0.0755454,-0.016548,0.00343753,0.00560633,0.00942849,0.0552035,0.0150004,-0.00927004,0.0403503,-0.0329439,-0.0190233,-0.0788075,-0.00082287,-0.043974,-0.00508696,-0.0516682,-0.0101262,-0.0165101,0.0167564,0.0107454,0.0400961,-0.0642085,-0.0444223,0.0174722,0.00993375,-0.0133248,-0.00649944,-0.015346,0.00710093,0.00647628,0.0588994,0.0294939,0.00773553,0.0266597,0.0292381,0.0173922,0.0135031,-0.0138122,-0.0206925,0.00561865,0.0425773,-0.104389,0.0494618,-0.0125818,0.0254313,0.0224888,0.0169552,-0.0257501,-0.0412967,-0.0241645,-0.00535296,-0.0478839,0.00666346,0.0512221,0.0153426,-0.078267,-0.0236351,0.0143039,-0.015344,0.0349261,-0.00876412,-0.0130872,-0.002677,-0.0371288,0.0215468,0.00803928,0.0147883,0.0360653,0.0651294,0.0184433,-0.0090578,-0.0121266,0.0579947,-0.0573972,0.0726527,-0.000452136,-0.00201108,0.0250669,-0.0434382,-0.0116771,-0.00749192,0.0257162,0.0530611,0.0264197,0.00108684,0.0007511,0.0246196,0.0383395,0.0347738,0.0465954,-0.00561506,-0.0133772,-0.0451986,0.0394419,-0.030067,0.0116122,0.0335628,0.0272551,-0.0118531,0.00152259,0.00313571,-0.0188138,-0.0163542,0.0512616,-0.0213677,-0.0246991,0.0529512,-0.0586703,0.0289947,0.0377708,-0.0151628,0.0502962,0.00588811,0.0133719,-0.0265626,-0.0397615,-0.0549002,-0.00771797,0.023258,0.0382411,-0.00949453,0.0474487,-0.0184907,0.0510753,0.0164682,-0.0219731,-0.017858,0.0655389,0.00304972,0.00281989,-0.0215275,0.0408036,0.0325438,-0.0302944,0.0154518,-1.56681e-05,0.0610173
0 days 00:17:36,0.0173323,-0.066055,0.0201996,0.00921075,-0.00268085,0.0342417,-0.0516297,0.00346012,-0.0638975,-0.023805,-0.00226341,-0.0616373,-0.0116085,-0.046007,-0.0185059,0.0325811,0.0105911,-0.0315605,0.00532165,0.00399613,0.0588397,0.00122527,0.00908669,-0.016267,0.0226132,0.045511,-0.00943524,-0.0350386,0.0260639,-0.0120822,-0.037923,-0.0951356,0.00893089,-0.0403677,-0.00350081,-0.0254089,-0.0105481,0.0311345,-0.0168109,0.032773,0.0427312,-0.0670424,-0.0123879,0.0210516,-0.020801,-0.0374751,-0.00026277,-0.0188816,-0.0304806,0.0174218,0.0347566,-0.00316498,-0.0244825,-0.00800231,0.0440074,-0.00584871,-0.00528005,-0.0271677,-0.00742601,0.00620084,0.0471974,-0.102791,0.0758725,-0.0343593,0.0258416,-0.0205821,0.0294754,-0.0236444,-0.0382645,-0.0171218,-0.0479589,-0.0584723,0.0158622,0.0373392,-0.0164405,-0.111379,-0.0108768,0.0339924,-0.0131566,0.0585815,-0.012953,-0.0579783,-0.00194289,-0.0460194,-0.0104932,-0.0205214,0.0081647,0.0180404,0.064071,0.0177861,-0.0143695,-0.0268744,0.0476402,-0.0617574,0.0538725,0.0152405,0.00508731,0.0186041,-0.0414312,-0.0157944,-0.0147027,-0.0137339,0.0542873,0.0428074,0.000308988,-0.0197593,0.053603,0.0216088,0.0203325,0.0312161,-0.00415684,-0.025575,-0.0544819,0.0339753,-0.0630546,0.0111128,0.010174,-0.000433776,-0.0361532,-0.027237,-0.0324941,-0.0359041,-0.0196744,0.0240228,-0.0236886,-0.0497171,0.0328075,-0.0549486,0.00098489,0.0160482,-0.0462017,0.0590234,0.00447759,0.0264459,-0.043005,-0.0430404,-0.0712375,0.00968564,-0.00103874,0.0563043,-0.0141445,0.0246182,-0.0592611,0.0649345,0.00922809,-0.039829,-0.0407684,0.0474696,0.00928325,-0.0300183,-0.0300223,0.0375555,-0.015605,-0.0206029,-0.00922588,-0.0122117,0.0171608
0 days 00:17:37.500000,-0.00885127,-0.00322283,0.0099016,-0.0290372,-0.00506355,0.0215824,-0.0203357,-0.00814707,-0.0113695,-0.0357225,-0.00487295,-0.0319018,-0.0331887,-0.04335,-0.0346317,0.0346626,0.00465756,-0.0207166,0.00910807,-0.01463,0.0252266,0.0222579,-0.000499498,-0.0235006,0.0358528,0.00275692,-0.00387896,-0.052444,0.0150059,0.0234589,-0.0300123,-0.0605492,0.0160593,-0.0147204,-0.0114684,0.0158613,-0.0134404,0.0342716,-0.0455748,0.0177299,0.0130308,0.00855497,0.0313718,0.0172848,-0.0244935,-0.0145891,0.0167869,-0.0180064,-0.0573719,0.00954454,0.00321098,-0.0338829,-0.0598713,-0.0444031,0.0215461,-0.0262259,-0.0102458,-0.0244238,0.0100252,0.00153749,0.0111085,-0.0241254,0.0645022,-0.0435468,-0.00860213,-0.0326904,0.0105526,-0.000282039,0.00492997,-0.0100509,-0.0592366,-0.0298458,-0.00476934,0.00184992,-0.0220427,-0.0735426,0.00252472,0.0239821,0.0115787,0.0244318,-0.0328828,-0.0554653,-0.00906503,-0.0317108,-0.0354072,-0.0148967,0.00345731,-0.0218725,0.0476106,-0.00481441,-0.0121832,-0.0118832,0.00829776,-0.0305085,0.00976147,-0.00630874,-0.00161928,-0.0226331,0.00182797,-0.00967224,-0.0196307,-0.0433731,0.0263027,0.0269184,0.00195542,-0.0214093,0.0422096,-0.0231008,0.00192634,0.00877611,0.016099,-0.0291753,-0.0288173,-0.0037532,-0.0650597,-0.00950143,-0.0278868,-0.0105916,-0.0087665,-0.0343889,-0.0206829,-0.0328543,-0.0039115,-0.00311732,-0.0312065,-0.0505856,0.0188775,-0.0216594,0.000955281,-0.00796245,-0.0125881,0.015418,-0.00962165,0.0300035,-0.00864589,-0.00479208,-0.0359165,0.0111762,-0.0150294,0.0309227,0.0105394,0.0161024,-0.0367882,0.0547967,0.0136534,-0.0268361,-0.0341197,0.00756801,0.00491516,-0.0397347,-0.000619554,0.0355562,-0.0706304,-0.0164904,-0.036047,-0.00794827,-0.0311583
0 days 00:17:39,-0.0279125,0.0316242,0.00405169,-0.0176176,-0.00261085,0.00384636,0.00243418,-0.00806138,0.0299933,-0.022674,-0.0149316,0.00836989,-0.0204351,-0.031414,-0.0122306,0.010183,-0.0112074,-0.00283356,0.00711208,-0.0164168,0.00860744,0.0250021,-0.0123354,-0.0128738,0.0284334,-0.0297143,0.00975072,-0.0472314,0.00141687,0.022134,-0.0149291,-0.0133582,0.00939055,-0.00770981,-0.0216423,0.034497,-0.0148309,0.0136699,-0.0298464,-0.0198523,-0.00776507,0.0495599,0.0438518,0.00412251,-0.00671227,0.00540465,0.0244743,-0.0121807,-0.0341342,-0.0033278,-0.0105534,-0.0429673,-0.065059,-0.0246064,-0.0130904,-0.035529,-0.0201358,-0.011367,0.0122016,0.0114395,-0.0220675,0.0355847,0.0290461,-0.0484544,-0.0370127,-0.0234249,-0.0215653,0.00851133,0.0275769,-0.016656,-0.0430075,-0.012423,-0.0241396,-0.0256082,-0.0136724,-0.0134953,0.00153011,-0.0276741,0.0203402,-0.0197416,-0.0361119,-0.0061088,-0.0246402,-0.00155789,-0.0371581,-0.0001055,-0.00401465,-0.0294526,0.0206579,-0.0162467,-0.0036154,0.0134735,-0.00067215,0.00270286,-0.00877698,-0.0276893,-0.0198262,-0.0501927,0.0290619,-0.0145789,-0.0286121,-0.041161,0.00278391,-0.0205297,0.00582346,-0.0269468,-0.0111426,-0.0318852,-0.0104302,0.0103306,0.0245213,-0.0181537,-0.0130241,-0.0260729,-0.047155,-0.0288561,-0.0155932,-0.000121685,0.0266055,-0.0367832,0.0033462,-0.00860134,0.00180796,-0.014626,-0.0310436,-0.0285291,0.00357231,0.000875862,0.0201694,-0.00568447,0.0136748,-0.0384224,-0.0291475,0.000525755,0.0104728,0.0311869,0.00755367,-0.0128328,-0.0300786,-0.0113353,0.0205135,0.00739011,0.0189453,0.0255705,0.0206066,-0.00102806,-0.0163272,-0.0149789,-0.010961,-0.0126624,0.0292664,0.0318666,-0.0668573,-0.02099,-0.0328841,-0.00108913,-0.0206675
